location,people_fully_vaccinated_per_hundred
Alaska,11.62
West Virginia,9.86
New Mexico,9.6
South Dakota,8.8
North Dakota,8.62
Connecticut,7.85
District of Columbia,7.85
Hawaii,7.66
Vermont,7.64
Oklahoma,7.56
Wyoming,7.53
Florida,6.95
Oregon,6.93
North Carolina,6.91
Colorado,6.84
Montana,6.84
Maine,6.8
Michigan,6.79
Louisiana,6.65
Minnesota,6.48
Wisconsin,6.46
New York State,6.45
Nebraska,6.42
Virginia,6.29
New Hampshire,6.18
New Jersey,6.16
Rhode Island,6.08
Indiana,6.06
Maryland,6.06
Ohio,6.06
Kentucky,6.01
Nevada,5.96
Georgia,5.92
Washington,5.82
Missouri,5.75
Massachusetts,5.74
Idaho,5.57
Arizona,5.47
Arkansas,5.43
Tennessee,5.38
California,5.33
Kansas,5.23
South Carolina,5.22
Delaware,5.19
Pennsylvania,5.19
Texas,5.12
Mississippi,4.96
Iowa,4.8
Alabama,4.75
Illinois,4.67
Utah,4.57
